id;from1;comment1;date1;testcountry
840;wasjet;A great walk, free but most tipped at the end took about 3 hours and whilst walking around between many of the major civil and rligious buildings we saw roman remains, changing of the guard at the presidnets house and learned much about the hsitory and tradition of Bulgaria. I guess some of this will depend on the guide you get but certainly ours was great on history and culture. Very worth while and I suggest you do it as early as you can in your visit because it will help you decide what to do in the rest of it;17.09.2015;UK
841;LemoiDark;Fun, friendly and informative tour of the city centre's key sites. Our guide Niki had great English and was consistently charming and well informed. Highly recommended, this free tour was better than many paid tours I've been on. Please tip your guide generously if you enjoy!;16.09.2015;UK
842;Jim M;The free Sofia tour is just that -- a free guided tour of some the city's highlights. I found it fun and very interesting. Perhaps the best recommendation is that some locals have taken the tour and have really liked it. Our tour was about 1.5 hours and it covered the city's major attractions. Of course, donations are accepted at the end of the tour, but there was no pressure and I was happy to contribute since it was such a positive experience. I highly recommend this as a Sofia starting point.;17.09.2015;USA
843;Roberto M;A very good overview of the history and culture of the country. Very professional and easily explained.;18.09.2015;
844;angadgyani1;Just took the walking tour in the evening today. Our guide was Niki and he was really good. He knew a lot of history, his way of conducting the tour, his jokes were all quite funny. We thoroughly enjoyed our tour. I would totally recommend doing this. Completely worth it!;18.09.2015;UK
845;Shai C;Great tour with super professional guiding. This tour is a must and leave you with the taste for more. by all means, great tour. And in my case, thanks to Slavic, the guide tour that we had.;19.09.2015;Israel
846;Gal A;Ludmil from Casa Ferrari B&B recommended this tour, and as with every other recommendation he made, we weren't disappointed. Alex, our tour guide, was charming, friendly and knowledgable, and she made sure all our group stayed together and that everyone was involved. The tour itself runs through all major landmarks in the city center, with a good mix of ancient history and more recent times. The tour is run by a non-profit, non-government organisation. We feel we know Sofia and Bulgaria much better now. Highly recommended!;19.09.2015;
847;Gal A;Ludmil from Casa Ferrari B&B recommended this tour, and as with every other recommendation he made, we weren't disappointed. Alex, our tour guide, was charming, friendly and knowledgable, and she made sure all our group stayed together and that everyone was involved. The tour itself runs through all major landmarks in the city center, with a good mix of ancient history and more recent times. The tour is run by a non-profit, non-government organisation. We feel we know Sofia and Bulgaria much better now. Highly recommended!;19.09.2015;
848;SimsimY;I really enjoyed to tour and learned a lot about the city and its rich history. I'll recommend this to every visitor in Sofia.;18.09.2015;Ireland
849;FormerFlyer19560415;"We joined the walking tour without any high expectations but from the warm welcome on enjoyed every minute of this two hour tour. I would strongly recommend making this top of your list on arrival in the city to get an introduction to the history and culture. 
Unlike many ""free"" events there was no pressure to make a contribution at the end but I hope that most people would do so.";20.09.2015;UK
850;Halton2015;"On Saturday 12th September I met fellow visitors outside the Palace of Justice building in Sofia.
Four energetic guides welcomed the large group consisting of many nationalities that had assembled with a keen anticipation of learning a lttle bit more about Sofia, Bulgaria and its history and culture. 
Our guide, Kristina was a friendly knowledgeable person and she is an excellent ambassador for her city and country.";21.09.2015;Ireland
851;Eran N;Going on for 365 days 2 times a day by people who love their town! Going for about 2 hours around the main old city and gives a lot of information about the town it's people and history.;23.09.2015;
852;RomeGirl982;We had a tour in July when we were on our Balkan tour and just loved it. Sofia still has the socialist vibe and this is the best way how to learn more of their past but also present day and their plans for future. Love the country loved the people...Def. recommend this tour...;24.09.2015;Italy
